in s,C1 in V,C2 in V
-7.42472E-04,3.325700E+00,3.304977E+00
-7.42456E-04,3.321733E+00,3.309402E+00
-7.42440E-04,3.326616E+00,3.317184E+00
-7.42424E-04,3.327684E+00,3.312759E+00
-7.42408E-04,3.327684E+00,3.311386E+00
-7.42392E-04,3.329667E+00,3.310776E+00
-7.42376E-04,3.323259E+00,3.313828E+00
-7.42360E-04,3.328599E+00,3.317184E+00
-7.42344E-04,3.331498E+00,3.313828E+00
-7.42328E-04,3.331041E+00,3.315201E+00
-7.42312E-04,3.328599E+00,3.311386E+00
-7.42296E-04,3.329667E+00,3.311844E+00
-7.42280E-04,3.326616E+00,3.311844E+00
-7.42264E-04,1.262101E+00,3.308945E+00
-7.42248E-04,1.790326E-01,3.314743E+00
-7.42232E-04,3.590515E-02,3.309860E+00
-7.42216E-04,1.088074E-02,3.310318E+00
-7.42200E-04,1.774719E-02,3.307419E+00
-7.42184E-04,1.774719E-02,3.310776E+00
-7.42168E-04,1.820496E-02,3.320084E+00
-7.42152E-04,1.240662E-02,3.316727E+00
-7.42136E-04,1.927307E-02,3.312302E+00
-7.42120E-04,1.332214E-02,3.315201E+00
-7.42104E-04,1.637390E-02,3.320694E+00
-7.42088E-04,2.217224E-02,3.317184E+00
-7.42072E-04,2.552917E-02,3.312302E+00
-7.42056E-04,2.171448E-02,3.314285E+00
-7.42040E-04,2.033433E+00,2.606583E+00
-7.42024E-04,3.215226E+00,5.307770E-01
-7.42008E-04,3.315934E+00,7.820129E-02
-7.41992E-04,3.323259E+00,1.365662E-02
-7.41976E-04,3.327226E+00,6.332397E-03
-7.41960E-04,3.329667E+00,2.365112E-03
-7.41944E-04,3.329667E+00,3.890991E-03
-7.41928E-04,3.329667E+00,-1.449585E-03
-7.41912E-04,3.330125E+00,-5.340576E-04
-7.41896E-04,3.331498E+00,-4.959106E-03
-7.41880E-04,3.333940E+00,4.348755E-03
-7.41864E-04,3.337907E+00,-5.416870E-03
-7.41848E-04,3.335008E+00,2.365112E-03
-7.41832E-04,3.328141E+00,3.890991E-03
-7.41816E-04,3.330583E+00,6.790161E-03
-7.41800E-04,3.334550E+00,2.365112E-03
-7.41784E-04,3.329057E+00,2.365112E-03
-7.41768E-04,3.328599E+00,2.365112E-03
-7.41752E-04,3.330125E+00,4.959106E-03
-7.41736E-04,3.329667E+00,-3.433228E-03
-7.41720E-04,3.335008E+00,5.340576E-04
-7.41704E-04,3.325700E+00,-4.959106E-03
-7.41688E-04,3.327226E+00,4.348755E-03
-7.41672E-04,3.333940E+00,5.340576E-04
-7.41656E-04,3.333024E+00,5.340576E-04
-7.41640E-04,3.333024E+00,6.790161E-03
-7.41624E-04,3.331041E+00,4.348755E-03
